trade_date,contract,close,source
2024-09-16,ZQF27,97.1500,yahoo
2024-09-16,ZQF28,96.8750,yahoo
2024-09-16,ZQG27,97.1350,yahoo
2024-09-16,ZQG28,96.8600,yahoo
2024-09-16,ZQH27,97.1200,yahoo
2024-09-16,ZQJ27,97.0800,yahoo
2024-09-16,ZQK27,97.0550,yahoo
2024-09-16,ZQM27,97.0350,yahoo
2024-09-16,ZQN27,97.0150,yahoo
2024-09-16,ZQQ27,96.9350,yahoo
2024-09-16,ZQU26,97.2100,yahoo
2024-09-16,ZQU27,96.9350,yahoo
2024-09-16,ZQV26,97.2050,yahoo
2024-09-16,ZQV27,96.9300,yahoo
2024-09-16,ZQX26,97.1850,yahoo
2024-09-16,ZQX27,96.9100,yahoo
2024-09-16,ZQZ26,97.1650,yahoo
2024-09-16,ZQZ27,96.8900,yahoo
2024-09-17,ZQF27,97.0950,yahoo
2024-09-17,ZQF28,96.8200,yahoo
2024-09-17,ZQG27,97.0800,yahoo
2024-09-17,ZQG28,96.8050,yahoo
2024-09-17,ZQH27,97.0650,yahoo
2024-09-17,ZQJ27,97.0250,yahoo
2024-09-17,ZQK27,97.0000,yahoo
2024-09-17,ZQM27,96.9800,yahoo
2024-09-17,ZQN27,96.9600,yahoo
2024-09-17,ZQQ27,96.8800,yahoo
2024-09-17,ZQU26,97.1550,yahoo
2024-09-17,ZQU27,96.8800,yahoo
2024-09-17,ZQV26,97.1500,yahoo
2024-09-17,ZQV27,96.8750,yahoo
2024-09-17,ZQX26,97.1300,yahoo
2024-09-17,ZQX27,96.8550,yahoo
2024-09-17,ZQZ26,97.1100,yahoo
2024-09-17,ZQZ27,96.8350,yahoo
2024-09-18,ZQF27,97.0650,yahoo
2024-09-18,ZQF28,96.7900,yahoo
2024-09-18,ZQG27,97.0500,yahoo
2024-09-18,ZQG28,96.7750,yahoo
2024-09-18,ZQH27,97.0350,yahoo
2024-09-18,ZQJ27,96.9950,yahoo
2024-09-18,ZQK27,96.9700,yahoo
2024-09-18,ZQM27,96.9500,yahoo
2024-09-18,ZQN27,96.9300,yahoo
2024-09-18,ZQQ27,96.8500,yahoo
2024-09-18,ZQU26,97.1250,yahoo
2024-09-18,ZQU27,96.8500,yahoo
2024-09-18,ZQV26,97.1200,yahoo
2024-09-18,ZQV27,96.8450,yahoo
2024-09-18,ZQX26,97.1000,yahoo
2024-09-18,ZQX27,96.8250,yahoo
